k,group,method,users,mse,mae,pair_accuracy,pair_users,unique_movies,unique_rating_pairs,round_rating_instances
0,SAMPLE_UNSUPPORTED,RIDGE,252,1.0804153849894733,0.8047909719907772,0.5414343850539858,198,4456,7454,11791
0,TRAIN_0,ALS,294,1.0296740657120056,0.7837150538821479,0.5,277,10431,26862,45401
0,TRAIN_0,ALS_FM,294,1.1047239978816816,0.8306377953675315,0.558615195501067,277,10431,26862,45401
0,TRAIN_0,FM,294,1.1047239978816816,0.8306377953675315,0.558615195501067,277,10431,26862,45401
0,TRAIN_0,GBT,294,1.0092266354845876,0.7697915938030727,0.5551719595101829,277,10431,26862,45401
0,TRAIN_0,RIDGE,294,1.0185769925391492,0.7813946330625645,0.5645152275527866,277,10431,26862,45401
0,TRAIN_10_49,ALS,271,1.0398361252799206,0.7853714401582305,0.5,244,1486,7395,11108
0,TRAIN_10_49,ALS_FM,271,0.996710565648,0.767067271736505,0.5965948194451295,244,1486,7395,11108
0,TRAIN_10_49,FM,271,0.996710565648,0.767067271736505,0.5965948194451295,244,1486,7395,11108
0,TRAIN_10_49,GBT,271,0.9890350279095126,0.7587306383826069,0.6058348720610756,244,1486,7395,11108
0,TRAIN_10_49,RIDGE,271,1.0168383981116886,0.778398212235731,0.6025191244233015,244,1486,7395,11108
0,TRAIN_1_9,ALS,264,1.022734793563552,0.7662361819898987,0.5,228,3510,9301,13422
0,TRAIN_1_9,ALS_FM,264,1.0475213570077602,0.7963366936679599,0.5448707140684885,228,3510,9301,13422
0,TRAIN_1_9,FM,264,1.0475213570077602,0.7963366936679599,0.5448707140684885,228,3510,9301,13422
0,TRAIN_1_9,GBT,264,1.0014740962475417,0.7549808258392279,0.569185743817493,228,3510,9301,13422
0,TRAIN_1_9,RIDGE,264,1.00452118927058,0.7603753769658509,0.5762760637111066,228,3510,9301,13422
0,TRAIN_50_PLUS,ALS,284,0.9203961006314787,0.7433024058238858,0.5,251,863,7840,12164
0,TRAIN_50_PLUS,ALS_FM,284,0.9217432663533632,0.7353872968950048,0.5800758607077887,251,863,7840,12164
0,TRAIN_50_PLUS,FM,284,0.9217432663533632,0.7353872968950048,0.5800758607077887,251,863,7840,12164
0,TRAIN_50_PLUS,GBT,284,0.8958396196949399,0.7198368631710209,0.5746392169460843,251,863,7840,12164
0,TRAIN_50_PLUS,RIDGE,284,0.9123669344091422,0.7415523356617547,0.5703075570837186,251,863,7840,12164
0,WITHHELD,ALS,286,1.0130883119858178,0.766319500018571,0.5,259,2892,9747,16603
0,WITHHELD,ALS_FM,286,1.0614114142032756,0.8070480910934491,0.5575492960577955,259,2892,9747,16603
0,WITHHELD,FM,286,1.0614114142032756,0.8070480910934491,0.5575492960577955,259,2892,9747,16603
0,WITHHELD,GBT,286,0.9892191310380007,0.7524080853463222,0.5612458352332087,259,2892,9747,16603
